"effect","mode","method","num_trials","num_detections","total_savings","detection_rate","average_savings"
0,"stream","YEAST",1e+05,4707,1214.602,0.04707,0.01214602
0,"14","YEAST",1e+05,3640,783.857999999991,0.0364,0.00783857999999991
0,"28","YEAST",1e+05,3985,934.487999999968,0.03985,0.00934487999999968
0,"42","YEAST",1e+05,4131,997.969999999978,0.04131,0.00997969999999978
0,"56","YEAST",1e+05,4268,1046.41399999998,0.04268,0.0104641399999998
0,"stream","YEASTn110",1e+05,3767,926.555999999995,0.03767,0.00926555999999995
0,"14","YEASTn110",1e+05,2895,593.986000000002,0.02895,0.00593986000000002
0,"28","YEASTn110",1e+05,3153,705.183999999988,0.03153,0.00705183999999988
0,"42","YEASTn110",1e+05,3281,758.519999999992,0.03281,0.00758519999999992
0,"56","YEASTn110",1e+05,3381,785.543999999983,0.03381,0.00785543999999983
0,"stream","YEASTn120",1e+05,2970,698.769999999998,0.0297,0.00698769999999998
0,"14","YEASTn120",1e+05,2301,443.984000000006,0.02301,0.00443984000000006
0,"28","YEASTn120",1e+05,2503,526.404000000006,0.02503,0.00526404000000006
0,"42","YEASTn120",1e+05,2601,572.274000000004,0.02601,0.00572274000000004
0,"56","YEASTn120",1e+05,2666,595.17799999999,0.02666,0.0059517799999999
0,"stream","YEASTn80",1e+05,7486,2185.778,0.07486,0.02185778
0,"14","YEASTn80",1e+05,5924,1441.16399999993,0.05924,0.0144116399999993
0,"28","YEASTn80",1e+05,6422,1697.13799999991,0.06422,0.0169713799999991
0,"42","YEASTn80",1e+05,6666,1810.18199999989,0.06666,0.0181018199999989
0,"56","YEASTn80",1e+05,6827,1894.78799999997,0.06827,0.0189478799999997
0,"stream","YEASTn90",1e+05,5937,1627.372,0.05937,0.01627372
0,"14","YEASTn90",1e+05,4615,1063.56199999997,0.04615,0.0106356199999997
0,"28","YEASTn90",1e+05,5053,1256.15199999995,0.05053,0.0125615199999995
0,"42","YEASTn90",1e+05,5230,1339.09599999993,0.0523,0.0133909599999993
0,"56","YEASTn90",1e+05,5391,1401.55799999998,0.05391,0.0140155799999998
0,"stream","pYEAST07",1e+05,3444,2104.28,0.03444,0.0210428
0,"14","pYEAST07",1e+05,2516,1413.20199999996,0.02516,0.0141320199999996
0,"28","pYEAST07",1e+05,2706,1558.18799999995,0.02706,0.0155818799999995
0,"42","pYEAST07",1e+05,2827,1650.40799999995,0.02827,0.0165040799999995
0,"56","pYEAST07",1e+05,2944,1740.19199999996,0.02944,0.0174019199999996
0,"stream","pYEAST14",1e+05,2931,1950.84,0.02931,0.0195084
0,"14","pYEAST14",1e+05,2117,1323.62799999998,0.02117,0.0132362799999998
0,"28","pYEAST14",1e+05,2243,1413.78199999998,0.02243,0.0141378199999998
0,"42","pYEAST14",1e+05,2345,1482.41599999997,0.02345,0.0148241599999997
0,"56","pYEAST14",1e+05,2427,1546.12799999999,0.02427,0.0154612799999999
0,"stream","mSPRTphi100",1e+05,1614,805.438,0.01614,0.00805438
0,"14","mSPRTphi100",1e+05,1005,441.412000000003,0.01005,0.00441412000000003
0,"28","mSPRTphi100",1e+05,1183,543.126000000002,0.01183,0.00543126000000002
0,"42","mSPRTphi100",1e+05,1253,591.996000000001,0.01253,0.00591996000000001
0,"56","mSPRTphi100",1e+05,1320,629.027999999995,0.0132,0.00629027999999995
0,"stream","mSPRTphi25",1e+05,2806,1933.556,0.02806,0.01933556
