"effect","mode","method","num_trials","num_detections","total_savings","n_tilde","m_t","detection_rate","average_savings"
0,"oracle","YEAST",1e+05,2316,513.999337089824,8972,12068,0.02316,0.00513999337089824
0,"primary","YEAST",1e+05,4417,1207.64559164733,8972,12068,0.04417,0.0120764559164733
0,"truncated","YEAST",1e+05,2171,504.482278198841,8972,12068,0.02171,0.00504482278198841
0.05,"oracle","YEAST",1e+05,6610,1503.22116340736,8972,12068,0.0661,0.0150322116340736
0.05,"primary","YEAST",1e+05,11429,3119.40304938681,8972,12068,0.11429,0.0311940304938681
0.05,"truncated","YEAST",1e+05,5571,1297.35287561302,8972,12068,0.05571,0.0129735287561302
0.1,"oracle","YEAST",1e+05,16514,3963.35946304276,8972,12068,0.16514,0.0396335946304276
0.1,"primary","YEAST",1e+05,25200,7199.16738481935,8972,12068,0.252,0.0719916738481935
0.1,"truncated","YEAST",1e+05,13089,3089.03722692822,8972,12068,0.13089,0.0308903722692822
0.2,"oracle","YEAST",1e+05,55919,16165.7315213789,8972,12068,0.55919,0.161657315213789
0.2,"primary","YEAST",1e+05,67636,23315.8745442494,8972,12068,0.67636,0.233158745442494
0.2,"truncated","YEAST",1e+05,44569,11602.2562416407,8972,12068,0.44569,0.116022562416407
0.5,"oracle","YEAST",1e+05,1e+05,61163.8108220088,8972,12068,1,0.611638108220088
0.5,"primary","YEAST",1e+05,1e+05,66010.3713954262,8972,12068,1,0.660103713954262
0.5,"truncated","YEAST",1e+05,99992,54281.7314979943,8972,12068,0.99992,0.542817314979943
