"effect","mode","method","num_trials","num_detections","total_savings","detection_rate","average_savings"
0,"non-sequential","ttest",7692,385,0,0.0500520020800832,0
0,"stream","YEAST",7692,340,90.3237487570433,0.0442017680707228,0.0117425570406973
0,"stream","YEAST-non-robust",7692,1266,544.857805767319,0.164586583463339,0.0708343481236764
0,"stream","pYEAST6",7692,119,51.7346702021876,0.015470618824753,0.00672577615733068
0,"stream","pYEAST6-non-robust",7692,1016,635.798723897911,0.132085283411336,0.0826571403923442
0,"stream","mSPRTphi100",7692,14,7.44763009612198,0.00182007280291212,0.000968230641721526
0,"stream","mSPRTphi25",7692,7,3.86426914153132,0.000910036401456058,0.000502375083402408
0,"stream","mSPRTphi11",7692,4,2.32391448458734,0.000520020800832033,0.000302120967835067
0,"stream","mSPRTphi100-non-robust",7692,745,614.604739807755,0.0968538741549662,0.0799018122474981
0,"stream","mSPRTphi25-non-robust",7692,560,461.610871726882,0.0728029121164847,0.0600118137970466
0,"stream","mSPRTphi11-non-robust",7692,439,349.229532648327,0.0570722828913157,0.045401655310495
0,"stream","GAVI250",7692,9,4.7229864103414,0.00117004680187207,0.000614012793856136
0,"stream","GAVI500",7692,13,6.70939675174014,0.00169006760270411,0.000872256467984938
0,"stream","GAVI750",7692,14,7.52320185614849,0.00182007280291212,0.000978055363513844
0,"stream","GAVI10K",7692,26,12.5923102419622,0.00338013520540822,0.00163706581408765
0,"stream","GAVI250-non-robust",7692,638,523.047232350018,0.0829433177327093,0.0679988601599087
0,"stream","GAVI500-non-robust",7692,729,600.82490884985,0.0947737909516381,0.0781103625649831
0,"stream","GAVI750-non-robust",7692,754,620.31562810739,0.0980239209568383,0.0806442574242577
0,"stream","GAVI10K-non-robust",7692,555,337.805187272125,0.0721528861154446,0.0439164310026163
0,"stream","LanDeMetsOBF",7692,198,46.9508617832284,0.0257410296411856,0.00610385618606713
0,"stream","LanDeMetsOBF-non-robust",7692,1009,404.482184289029,0.13117524700988,0.0525847873490677
0,"stream","SeqC2ST_QDA",7692,1896,1447.901889294,0.246489859594384,0.18823477499922
0,"stream","Classical",7692,333,332.972406363937,0.0432917316692668,0.0432881443530859
0,"stream","Classical-non-robust",7692,1117,1116.90744116674,0.145215808632345,0.145203775502696
0.05,"non-sequential","ttest",7692,681,0,0.0885335413416537,0
0.05,"stream","YEAST",7692,869,244.624129930395,0.112974518980759,0.0318024089873108
0.05,"stream","YEAST-non-robust",7692,2426,1040.10117666556,0.315392615704628,0.135218561708992
0.05,"stream","pYEAST6",7692,390,155.510606562811,0.0507020280811232,0.020217187540667
0.05,"stream","pYEAST6-non-robust",7692,1908,1097.57681471661,0.24804992199688,0.1426906935409
0.05,"stream","mSPRTphi100",7692,45,21.693486907524,0.00585023400936037,0.00282026610862247
0.05,"stream","mSPRTphi25",7692,16,8.03140536957242,0.00208008320332813,0.00104412446302294
0.05,"stream","mSPRTphi11",7692,9,4.12669870732516,0.00117004680187207,0.000536492291643936
0.05,"stream","mSPRTphi100-non-robust",7692,1227,937.21478289691,0.159516380655226,0.121842795488418
0.05,"stream","mSPRTphi25-non-robust",7692,1000,757.910258534965,0.130005200208008,0.0985322749005414
0.05,"stream","mSPRTphi11-non-robust",7692,844,625.071760026516,0.109724388975559,0.0812625793066194
